銘柄コード,銘柄名,終値,移動平均線乖離率25日,移動平均線乖離率75日,PER,PBR,経常成長率,EPS成長率,時価総額,決算発表予定日,経常利益1,経常利益2,経常利益3,EPS1,EPS2,EPS3
6754,アンリツ,705円,-1.44%,13.08%,24.7,3.5,26.54,25.05,"3,352億円",-,"11,362","17,181","17,500",65.2,97.2,98.2
6758,ソニー,"2,082円",11.17%,40.85%,20.4,2.41,-17.65,-23.14,"10兆7,657億円",2020/8/4,"1,011,648","799,450","685,000",723.4,471.6,417.5
7038,フロンティＭ,"11,790円",8.32%,29.93%,39.7,10.51,9.14,5.91,223億円,2020/8/11,676,678,800,91.3,75.3,97.4
7048,ベルトラ,850円,3.07%,0.34%,－,7.05,140.75,56.41,133億円,-,319,768,－,11.7,18.3,－
7058,共栄セキュリ,"4,000円",2.00%,12.81%,13.8,1.19,8.42,-8.8,45.0億円,2020/8/14,426,496,498,261.8,216.1,215.8
7072,インテＭ,"1,208円",-9.48%,-19.56%,－,4.37,-23.57,5.74,52.4億円,2020/8/14,84,142,-23,17.3,40.2,-8.4
7185,ヒロセ通商,"1,141円",4.95%,4.67%,－,1.18,0.17,1.79,133億円,-,"2,967","2,972",－,319.2,324.9,－
7518,ネットワンシステムズ,"1,215円",17.90%,7.84%,30.4,5.29,18.04,73.71,"3,552億円",-,"12,412","16,563","17,000",51.1,119.5,135.7
7532,パンパシＨＤ,"1,482円",0.65%,-0.27%,31.8,4.05,11.65,13.9,"1兆4,650億円",2020/8/12,"57,218","68,240","71,000",57.5,76.2,72.6
7611,ハイデイ日高,560円,7.75%,3.35%,－,2.58,-12.45,-7.87,630億円,-,"4,697","4,112",－,73.7,67.9,－
7649,スギホールディングス,"1,410円",-4.80%,6.63%,23.2,2.48,7.82,6.56,"4,756億円",-,"27,237","31,473","31,500",287.7,336.2,323.6
7679,薬王堂ホールディングス,"2,130円",-5.83%,0.45%,16.3,2.24,0.91,3.08,511億円,-,"4,238","4,295","4,315",149.2,158.2,158.4
7741,ＨＯＹＡ,"2,110円",-2.02%,3.26%,－,5.88,1.8,-5.69,"3兆8,528億円",-,"144,657","147,268",－,321.6,303.3,－
7803,ブシロード,"3,405円",5.25%,14.60%,28.3,3.31,-6.53,-9.82,430億円,2020/9/14,"2,996","3,031","2,600",120.3,132.1,93.2
7812,クレステック,"1,914円",9.28%,27.35%,－,0.76,-31.37,-44,30.6億円,2020/8/11,851,584,－,150,84,－
7832,バンナムＨＤ,"3,960円",3.00%,-15.96%,42.3,3.17,-22.42,-25.89,"1兆4,099億円",2020/8/7,"86,863","79,797","50,500",288.4,262.4,150.2
7868,廣済堂,"1,200円",-1.33%,-5.98%,－,0.63,35,724.62,191億円,2020/8/11,"1,637","2,210",－,-13,-107.2,－
